Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hedeviken;123340;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-10-01 00:00:00;2020-10-01 18:00:00;410.0;62.4112;13.6748

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-10-01 06:00:01;2008-10-02 06:00:00;2008-10-01;15.2;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-10-02 06:00:01;2008-10-03 06:00:00;2008-10-02;3.0;G;;Tidsperiod (fr.o.m.) = 2008-10-01 00:00:00 (UTC)
2008-10-03 06:00:01;2008-10-04 06:00:00;2008-10-03;8.2;G;;Tidsperiod (t.o.m.) = 2020-07-01 06:00:00 (UTC)
2008-10-04 06:00:01;2008-10-05 06:00:00;2008-10-04;8.4;G;;Värdet är summerat över = 24 timmar
2008-10-05 06:00:01;2008-10-06 06:00:00;2008-10-05;1.0;G;;
2008-10-06 06:00:01;2008-10-07 06:00:00;2008-10-06;0.0;G;;Kvalitetskoderna:
2008-10-07 06:00:01;2008-10-08 06:00:00;2008-10-07;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
2008-10-08 06:00:01;2008-10-09 06:00:00;2008-10-08;2.3;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2008-10-09 06:00:01;2008-10-10 06:00:00;2008-10-09;0.9;G;;
2008-10-10 06:00:01;2008-10-11 06:00:00;2008-10-10;0.8;G;;Orsaker till saknade data:
2008-10-11 06:00:01;2008-10-12 06:00:00;2008-10-11;0.0;G;;  stationen eller givaren har varit ur funktion.
2008-10-12 06:00:01;2008-10-13 06:00:00;2008-10-12;4.1;G
2008-10-13 06:00:01;2008-10-14 06:00:00;2008-10-13;0.4;G
2008-10-14 06:00:01;2008-10-15 06:00:00;2008-10-14;0.0;G
2008-10-15 06:00:01;2008-10-16 06:00:00;2008-10-15;0.0;G
2008-10-16 06:00:01;2008-10-17 06:00:00;2008-10-16;0.0;G
2008-10-17 06:00:01;2008-10-18 06:00:00;2008-10-17;0.0;G
2008-10-18 06:00:01;2008-10-19 06:00:00;2008-10-18;0.7;G
2008-10-19 06:00:01;2008-10-20 06:00:00;2008-10-19;0.5;G
2008-10-20 06:00:01;2008-10-21 06:00:00;2008-10-20;2.6;G
2008-10-21 06:00:01;2008-10-22 06:00:00;2008-10-21;0.0;G
2008-10-22 06:00:01;2008-10-23 06:00:00;2008-10-22;0.0;G
2008-10-23 06:00:01;2008-10-24 06:00:00;2008-10-23;0.5;G
2008-10-24 06:00:01;2008-10-25 06:00:00;2008-10-24;0.0;G
2008-10-25 06:00:01;2008-10-26 06:00:00;2008-10-25;1.4;G
2008-10-26 06:00:01;2008-10-27 06:00:00;2008-10-26;0.0;G
2008-10-27 06:00:01;2008-10-28 06:00:00;2008-10-27;0.0;G
2008-10-28 06:00:01;2008-10-29 06:00:00;2008-10-28;0.0;G
2008-10-29 06:00:01;2008-10-30 06:00:00;2008-10-29;1.3;G
2008-10-30 06:00:01;2008-10-31 06:00:00;2008-10-30;0.0;G
2008-10-31 06:00:01;2008-11-01 06:00:00;2008-10-31;0.0;G
2008-11-01 06:00:01;2008-11-02 06:00:00;2008-11-01;0.0;G
2008-11-02 06:00:01;2008-11-03 06:00:00;2008-11-02;0.0;G
2008-11-03 06:00:01;2008-11-04 06:00:00;2008-11-03;2.6;G
2008-11-04 06:00:01;2008-11-05 06:00:00;2008-11-04;0.0;G
2008-11-05 06:00:01;2008-11-06 06:00:00;2008-11-05;0.0;G
2008-11-06 06:00:01;2008-11-07 06:00:00;2008-11-06;0.0;G
2008-11-07 06:00:01;2008-11-08 06:00:00;2008-11-07;1.8;G
2008-11-08 06:00:01;2008-11-09 06:00:00;2008-11-08;0.0;G
2008-11-09 06:00:01;2008-11-10 06:00:00;2008-11-09;2.1;G
2008-11-10 06:00:01;2008-11-11 06:00:00;2008-11-10;3.9;G
2008-11-11 06:00:01;2008-11-12 06:00:00;2008-11-11;0.0;G
2008-11-12 06:00:01;2008-11-13 06:00:00;2008-11-12;0.0;G
2008-11-13 06:00:01;2008-11-14 06:00:00;2008-11-13;0.8;G
2008-11-14 06:00:01;2008-11-15 06:00:00;2008-11-14;3.3;G
2008-11-15 06:00:01;2008-11-16 06:00:00;2008-11-15;0.2;G
2008-11-16 06:00:01;2008-11-17 06:00:00;2008-11-16;0.0;G
2008-11-17 06:00:01;2008-11-18 06:00:00;2008-11-17;0.7;G
2008-11-18 06:00:01;2008-11-19 06:00:00;2008-11-18;1.7;G
2008-11-19 06:00:01;2008-11-20 06:00:00;2008-11-19;3.2;G
2008-11-20 06:00:01;2008-11-21 06:00:00;2008-11-20;0.5;G
2008-11-21 06:00:01;2008-11-22 06:00:00;2008-11-21;0.0;G
2008-11-22 06:00:01;2008-11-23 06:00:00;2008-11-22;3.0;G
2008-11-23 06:00:01;2008-11-24 06:00:00;2008-11-23;0.8;G
2008-11-24 06:00:01;2008-11-25 06:00:00;2008-11-24;1.5;G
2008-11-25 06:00:01;2008-11-26 06:00:00;2008-11-25;1.0;G
2008-11-26 06:00:01;2008-11-27 06:00:00;2008-11-26;1.6;G
2008-11-27 06:00:01;2008-11-28 06:00:00;2008-11-27;0.0;G
2008-11-28 06:00:01;2008-11-29 06:00:00;2008-11-28;0.0;G
2008-11-29 06:00:01;2008-11-30 06:00:00;2008-11-29;10.6;G
2008-11-30 06:00:01;2008-12-01 06:00:00;2008-11-30;3.4;G
2008-12-01 06:00:01;2008-12-02 06:00:00;2008-12-01;0.5;G
2008-12-02 06:00:01;2008-12-03 06:00:00;2008-12-02;1.2;G
2008-12-03 06:00:01;2008-12-04 06:00:00;2008-12-03;7.0;G
2008-12-04 06:00:01;2008-12-05 06:00:00;2008-12-04;0.2;G
2008-12-05 06:00:01;2008-12-06 06:00:00;2008-12-05;2.8;G
2008-12-06 06:00:01;2008-12-07 06:00:00;2008-12-06;1.4;G
2008-12-07 06:00:01;2008-12-08 06:00:00;2008-12-07;0.5;G
2008-12-08 06:00:01;2008-12-09 06:00:00;2008-12-08;1.2;G
2008-12-09 06:00:01;2008-12-10 06:00:00;2008-12-09;0.0;G
2008-12-10 06:00:01;2008-12-11 06:00:00;2008-12-10;0.0;G
2008-12-11 06:00:01;2008-12-12 06:00:00;2008-12-11;1.9;G
2008-12-12 06:00:01;2008-12-13 06:00:00;2008-12-12;3.0;G
2008-12-13 06:00:01;2008-12-14 06:00:00;2008-12-13;0.0;G
2008-12-14 06:00:01;2008-12-15 06:00:00;2008-12-14;1.6;G
2008-12-15 06:00:01;2008-12-16 06:00:00;2008-12-15;0.3;G
2008-12-16 06:00:01;2008-12-17 06:00:00;2008-12-16;0.0;G
2008-12-17 06:00:01;2008-12-18 06:00:00;2008-12-17;0.5;G
2008-12-18 06:00:01;2008-12-19 06:00:00;2008-12-18;0.0;G
2008-12-19 06:00:01;2008-12-20 06:00:00;2008-12-19;0.0;G
2008-12-20 06:00:01;2008-12-21 06:00:00;2008-12-20;1.4;G
2008-12-21 06:00:01;2008-12-22 06:00:00;2008-12-21;0.5;G
2008-12-22 06:00:01;2008-12-23 06:00:00;2008-12-22;0.7;G
2008-12-23 06:00:01;2008-12-24 06:00:00;2008-12-23;1.0;G
2008-12-24 06:00:01;2008-12-25 06:00:00;2008-12-24;0.0;G
2008-12-25 06:00:01;2008-12-26 06:00:00;2008-12-25;0.0;G
2008-12-26 06:00:01;2008-12-27 06:00:00;2008-12-26;0.0;G
2008-12-27 06:00:01;2008-12-28 06:00:00;2008-12-27;0.0;G
2008-12-28 06:00:01;2008-12-29 06:00:00;2008-12-28;0.0;G
