winter,year,good_bad_winter,snow,date_start_winter,date_end_winter,observations,construction,check_ok
2008,2007-2008,medium,a lot of snow,2007-11-22,2008-04-17,,before,
2009,2008-2009,good,a lot of snow,2009-01-17,2009-04-05,,before,
2010,2009-2010,good,normal,2009-12-18,2010-04-04,,before,
2011,2010-2011,good,a lot of snow,2011-01-21,2011-04-02,,before,
2012,2011-2012,good,normal,2012-01-24,2012-03-16,"short winter; before the construction, but maybe there were some activities such as road cleaning",before,
2013,2012-2013,bad,,no data,no data,,during,
2014,2013-2014,medium,not much,2014-01-16,2014-03-31,short winter,during,
2015,2014-2015,bad,little snow,2014-12-01,2015-04-06,several animals road killed,after,
2016,2015-2016,bad,little snow,2015-12-02,2016-04-03,animals close to the windfarm pushed up around march 15,after,
2017,2016-2017,bad,not much,2016-11-29,2017-03-27,,after,
2018,2017-2018,medium,a lot of snow,2018-01-09,2018-04-09,,after,
2019,2018-2019,medium,a lot of snow,2018-12-03,2019-04-10,,after,
2020,2019-2020,bad,not much,2019-11-19,2020-03-28,,after,
